;;;12:0;13:0iso;13:0;14:0iso;14:0;14:1w5;15:0iso;15:0anteiso;15:0;15:1w5;16:0iso;16:0;16:1w9;16:1w7;16:1w5;17:0iso;16:2w4;17:0;17:1w7;18:0iso;18:0;18:1w9;18:1w7;18:2w6;18:3w6;18:3w3;18:4w3;20:0;20:1w9;20:2w6;20:4w6;20:4w3;20:5w3;22:0;22:1w9;22:5w6;24:0;22:6w3;24:1w9;25:0;26:0
S2;BIG2;210;2.098199591;0;0.827542091;0.422620933;12.7037803;0;1.056707594;0.875362535;3.030387718;0;0.317664375;32.30488327;0.692154342;6.350182277;0;0.445289065;0.555213981;0.788416274;0;0;12.46312547;15.38824611;3.236574566;1.826182003;0;0.443115409;0.479446525;0.438768096;0;0;0;0;0.656133748;0.319838032;0;0;0.237549606;0.771648066;0;0;0
S2;BIG2;211;1.134082259;0;0;0.308514448;4.679243816;0.221339672;0.60957529;0.659320004;2.208535674;0;0.369925675;31.80599237;1.918493205;9.876513203;0;0.443327484;0;1.654538354;0;0;14.27932548;15.44970356;5.746891766;2.222794746;0;0.219719323;0;1.111397373;0;0;0;0;0.236246883;0.987116605;0;0;1.653242075;0.360689685;0;0.329903055;0.506845164
S2;BIG2;212;1.887611347;0;0.841427346;0.586619065;15.15619258;0;1.067534695;0.990532192;3.057699375;0;0.367511944;32.59165923;0.928230167;6.117148807;0;0.3538615;0.499116221;0.733273831;0;0;11.34211862;15.44390193;3.240055302;1.633503089;0;0.420713673;0.504016381;0.307309988;0;0;0;0;0.377662274;0.237657724;0;0;0;0.387462593;0;0;0
S2;BIG2;213;0.463314927;0;0;0.377731609;13.89825294;0.533812879;1.002952849;0.891679599;2.274455097;0;0.311565099;35.42581808;3.858269245;8.760117278;0;0.35741864;0.336806951;0.819239966;0;0.224786901;8.797756014;12.3828457;3.406156323;1.977975365;0;0.628507161;0.563834252;0.442553878;0;0;0;0;0.485868297;0.261678837;0;0;0.33591079;0.420149868;0;0;0
S2;BIG2;214;0.758078335;0;0;0.276372934;13.07171461;0.456055629;0.977780046;0.769493155;2.777158542;0;0.219164543;37.6480905;3.413434034;7.424601757;0;0.342847474;0.263078026;1.183918265;0;0;9.143942222;11.07707555;3.740435052;1.787560801;0;0.60726842;0.541465341;0.477139473;0;0;0;0;0.613042976;0.31437757;0;0;0.345667606;0.69724406;0;0;0
S2;BIG2;215;0.68770875;0;0.760717178;0.350950999;12.99437682;0;1.199890947;0.965344993;3.179083035;0;0.34390543;38.9677119;0.72069018;8.348079674;0;0.410991495;0.543427761;0.866707034;0;0;6.142101969;9.618528416;5.448572966;2.285010604;0;1.350706956;0.867523912;0.289889405;0;0;0;0;0.978006594;0;0;0;0;1.325179534;0;0;0
S2;MIX2;216;0.530589378;0;0;0.381780985;8.775132014;0;1.231788717;0.609176433;1.533715114;0;0.269477548;27.18858612;1.010730936;8.898336236;0;0.664440878;0.564052253;0.822629016;0;0.25959079;13.73853833;15.85100908;6.776739246;2.325923335;0;0.762040931;0.943044665;0.671792571;0.360739935;0;0.295335224;0;1.897750636;0.354402269;0;0;0.265167935;1.706606636;0;0;0
S2;MIX2;217;0.706922399;0;0;0.260266139;15.64069672;0;1.113395051;0.646337882;1.478138572;0;0.22533731;29.59986399;0.523623325;8.769608828;0;0.731032564;0.931950605;0.642010417;0;0.381435173;10.76518863;15.61411372;3.953139731;1.97950636;0;0.74988795;0.92700493;0.405236233;0;0;0.218537008;0;1.13379596;0.27417585;0;0;0.202463564;0.873220716;0;0;0
S2;MIX2;218;0.794289632;0;0;0.277894898;16.19009289;0;0.934408286;0.593268342;1.47486595;0;0.224871274;34.82459615;0.843267277;7.90712135;0;0.551104978;0.687816491;0.621803144;0;0.267886423;9.692250033;13.51846883;3.339423597;2.223798025;0;0.861367711;0.820269079;0.37116537;0;0;0;0;0.75894055;0.270015886;0;0;0.20677084;0.628617425;0;0;0
S2;MIX2;219;0.508777825;0;0;0.225820261;17.51846729;0;0.810667449;0.446694309;1.313475705;0;0;39.51786351;0.527368768;8.048854951;0;0.619982364;0.512530125;0.526174854;0;0;6.921970913;12.72643854;2.999793623;2.265536656;0;1.038363861;0.6590404;0.342312133;0;0;0;0;0.49615645;0.21643951;0;0;0;0.357150776;0;0;0
S3;BIG3;301;0.519487866;0;0;0;10.57030528;0;1.034261686;0.692964758;1.388757943;0;0.248430223;25.06363962;0.82542945;7.82814474;0.286613995;0.908868063;1.38121547;0.636396206;0;0.615182999;15.88727773;19.06831595;4.382177135;1.890332435;0;0.929609866;1.861576754;0.361567326;0;0;0;0;1.27562084;0.289442423;0;0;0;0.845228443;0;0;0
S3;BIG3;302;0;0;0;0;10.562907;0;0.990707052;0.638745336;1.377140738;0;0.285914579;26.36410512;1.623079419;7.422771199;0.291708188;1.115269635;1.619023893;0.751720702;0;0.84615652;13.30270446;15.93155431;3.767583602;2.288765034;0;1.529512642;2.605096058;0.463198999;0;0;0.460012514;0;2.179555514;0.322124632;0;0;0.238117309;1.832808046;0;0;0
S3;MIX3;303;0.234131937;0;0;0;11.13101557;0;0.788383057;0.467430664;1.014682822;0;0;29.66110027;0.677232877;8.554731048;0.487760982;1.043511879;1.3173046;0.559916946;0;0.702229169;8.689711026;12.88608856;4.036067983;2.788753002;0.216134607;2.139016046;3.209357279;0.976688458;0.940193871;0;0.439768101;0;2.710098002;0.376610803;0;0;0.29428968;2.178343546;0;0;0
S3;MIX3;304;0.400006672;0;0;0.267631454;14.26543885;0;0.903730009;0.577416758;1.430653127;0;0.205158843;30.02870404;0.875223089;9.002576237;0.293257355;1.00956953;1.248845697;0.698571166;0;0.851720044;7.793003371;10.99715082;3.168513804;2.555160132;0.263992273;2.147875097;3.042507153;0.433669098;0;0;0.416686253;0;3.003840853;0.209556187;0;0;0;2.610960911;0;0;0
S3;MIX3;305;0.337779888;0;0;0.257598302;14.05331876;0;0.866439818;0.408487281;1.062804919;0;0;31.56192532;0.642350238;13.79781475;0.482884622;1.134409868;1.168915873;0.426338654;0;0.592785253;5.035882257;8.732113722;4.168644612;2.972403174;0.278242069;2.673816524;3.157299516;0.252611885;0;0;0.29379969;0;2.527614777;0;0;0;0;1.81435769;0;0;0
S3;MIX3;306;0;0;0;0;13.08851344;0;0.818856589;0.533242208;1.19029833;0;0;32.18843874;0.789452771;10.59475182;0.291177265;1.244019899;1.375780791;0.473004117;0;0.953001574;6.569289699;11.57381948;2.958659822;2.775084635;0.305958644;3.054182494;3.558338764;0.379865537;0;0;0.22172068;0;1.761686031;0.224899471;0;0;0;1.557607642;0;0;0
S3;MIX3;307;0.203049686;0;0;0.203221036;14.05994849;0;0.952020302;0.590471915;1.273301451;0;0.215900932;28.88600259;0.995371838;11.15745175;0.407298822;0.940711205;1.413979757;0.554317076;0;0.785296804;7.842515691;12.18983518;3.98662785;4.549169724;0.281527962;1.97617893;2.092868244;0.357950038;0;0;0.35126739;0;1.391190214;0.262850818;0;0;0.22224088;1.034096926;0;0;0
S3;SEP3;308;0.205066013;0;0;0.239943155;13.66047899;0.53227438;1.594869442;0.525038459;2.244510468;0;0.270044588;30.6122892;0.592694324;12.16756368;0.605140109;1.180395863;1.594218209;0.445588042;0;0;3.04559933;6.344528269;3.926138608;2.414337544;0.352606451;1.264621988;4.518615855;0.292186507;0;0;0.791826882;0.201520412;6.193731666;0.237265864;0.694793176;0.41809154;0;2.100443273;0;0;0
S3;SEP3;309;0.308087528;0;0;0.268950704;15.74301719;0.226646148;1.742559405;0.639166662;1.852816932;0;0.328217956;23.8495511;0.424271779;13.89776195;0.461160535;3.104377806;5.514409095;0.340991071;0;0;3.932893121;6.869687662;3.851860481;1.747259911;0.212340259;0.812983207;2.760321188;0;0;0;0.740636285;0.208968157;7.318688191;0;0.318306019;0.34885931;0;1.071408864;0;0;0
S3;SEP3;311;0.234506964;0;0;0;15.92899371;0;1.124508487;0.328828954;1.376062637;0;0;29.09599729;0.980948689;10.85646097;0.926345776;2.022298064;1.641289148;0.32346385;0;0;3.682278542;7.08539861;2.92709689;2.7272035;0.356952482;2.494600282;5.481319054;0.41406488;0;0;0.850542049;0;4.739030958;0;0;0.559355357;0;2.368087669;0;0;0
S3;SEP3;312;0.257662178;0;0;0.282539216;16.40895453;0;1.127259539;0.384445157;1.343060355;0;0;28.61199113;1.166523299;12.85603388;0.994781816;1.16962044;1.425484278;0.442791304;0;0.209106994;4.231893962;7.467207767;3.793498601;2.709698948;0.342483887;2.166999859;4.366669564;0.253565959;0;0;0.515524171;0;3.757531798;0.215800816;0;0.34867817;0;2.085175383;0;0;0
S3;SEP3;313;0.320578236;0;0;0.323896851;12.29546959;0;1.271859304;0.597350749;1.492381289;0;0.305644467;29.46299827;0.952276653;10.12360183;0.48883203;1.550622987;1.276671296;0.700559684;0;0.660238509;6.814610536;10.49644825;4.228911444;1.952507297;0;2.042441771;3.840799388;0.478544323;0;0;0.432083709;0;3.601859088;0.38230448;0;0.200444363;0.260345368;2.393053475;0;0;0
S3;SEP3;314;0.342985347;0;0;0.318586553;11.68618103;0;1.070602258;0.531585221;1.454953376;0;0.262777817;29.02222534;0.817219379;11.73694174;0.454041927;1.177452149;1.22779219;0.939914464;0;0.235574564;7.755731613;9.541330716;4.211596438;1.770034355;0;1.533057562;2.58374816;0.365981911;0;0;0.601836921;0;5.445137769;0.263198486;0;0.243987941;0;3.225829068;0;0;0
S3;BIG3;315;0;0;0;0.209908116;8.899594894;0;1.292830308;0.658296746;1.404573847;0;0.273559498;26.18448151;0.85632327;9.244443942;0.310618748;1.138369619;0.878954873;0.710632327;0;0.81926402;11.20207758;14.88876567;6.816072964;1.969515231;0.225184448;1.353652741;3.171536233;0.499026841;0;0;0.286289775;0;2.49258815;0.495349206;0;0;0.398599104;2.287772145;0;0;0
S3;BIG3;316;0;0;0;0;6.713154005;0;0.891745583;0.58587102;1.33190654;0;0.240829591;28.91353915;0.732979899;9.191623886;0.202595271;1.025332569;0.803620137;1.1908592;0;0.465339656;12.87913758;13.10574587;6.253875888;2.006136142;0;1.134906536;1.994246201;0.694978715;0.210521898;0;0.460443798;0;3.991523171;0.503807113;0;0;0.412184625;2.886691193;0;0;0
S3;BIG3;317;0.390303942;0;0;0.321652022;10.71134056;0;1.024582037;0.614995384;1.602653082;0;0.337242299;28.53020616;1.401073541;9.129748026;0.228930904;0.910800369;1.159834524;0.861704674;0;0.704024069;9.850866696;10.4290745;5.032240418;2.715443263;0;1.838011556;3.055283941;0.625388902;0;0;0.267496325;0;2.397073404;0.788129509;0;0;1.024718794;2.35864474;0;0;0.448015317
S3;BIG3;318;0;0;0;0;13.70937303;0;1.004103885;0.588323398;1.374052662;0;0.245634005;26.79387712;0.944492706;11.2626187;0.430458617;1.131713747;1.903813318;0.726866968;0;0.838001378;7.773118054;9.741634964;4.192103765;2.499326004;0.254620615;2.612856843;4.419914328;0.308540275;0;0;0.36455681;0;2.763532337;0.252673516;0;0;0.265704101;2.436719288;0;0;0
S3;BIG3;320;0.262209514;0;0;0.256687161;13.54674161;0;1.543190938;0.683340083;1.685749465;0;0.272231562;29.62742523;0.790719174;10.33764077;0.491284908;1.068064027;0.723632809;0.763311939;0;0.281230953;7.818015962;10.32393715;5.824855498;2.09869877;0;2.030180683;1.968207608;0.73406392;0.368361416;0;0.421948695;0;2.249438561;0.431152617;0;0.201259097;0.340749649;1.810718274;0;0;0
